# id cna
2906 0
2904 0
2905 0
10981 0
11617 0
11653 0
36138 0
36144 0
36145 0
43765 0
43825 0
36514 0
36139 0
43828 0
10982 0
43138 3
43761 0
43764 0
36142 0
2112 0
3721 0
2908 0
2909 0
43826 0
43829 0
43888 0
44554 0
44616 0
43886 0
43887 0
44496 0
43762 0
43763 0
43827 0
44489 0
44492 0
44493 0
44494 0
44495 0
44553 0
43760 0
16653 0
16892 0
16895 0
16660 3
16656 0
16675 0
16678 0
16679 0
16896 0
16923 0
16924 0
16657 0
16655 0
16677 0
16680 0
39177 0
39180 0
39838 0
38493 0
38534 3
16682 0
39215 0
39217 0
39213 2
39239 2
39241 2
39835 0
38533 2
39240 0
38570 2
38560 2
39236 2
39250 0
16691 0
16920 0
16940 2
16943 0
16944 0
16489 3
16689 0
16693 0
37757 0
38488 0
38489 0
38492 0
38535 2
37800 2
38490 0
37797 0
37799 2
38485 0
38527 2
38528 0
38530 0
38531 0
38532 2
37754 0
37795 2
37798 2
38559 0
9830 0
37796 0
38524 2
38529 2
38554 0
38555 0
38557 2
38558 2
9373 0
16937 0
17224 0
17241 0
16948 0
16950 0
16951 0
16952 0
16953 0
16697 0
38440 0
16698 0
37704 0
37705 0
37707 0
37752 0
37753 2
37021 3
37701 0
37053 2
37054 0
37748 0
37081 0
37745 0
37790 0
37791 0
37823 0
17225 0
17568 0
17569 0
17588 2
17589 2
17238 0
705 0
17239 0
17240 2
17243 0
17590 2
17603 0
706 0
37023 0
1311 0
1342 0
16949 0
16954 0
17242 0
17248 0
17249 0
17251 0
36983 0
17250 0
37020 0
36496 0
36980 0
36981 0
36982 0
37022 0
36940 0
37083 0
36495 3
36513 0
37012 0
37015 0
37016 3
37017 0
37050 0
37051 0
37052 0
37048 3
37078 0
37080 0
37082 0
36512 0
37044 2
37047 2
37049 2
37079 2
36509 0
36525 0
17591 2
678 0
679 0
680 0
681 0
709 0
1243 0
17975 0
17976 0
17993 0
707 0
708 0
730 0
732 0
1278 0
1281 0
1314 0
1318 0
17602 0
731 0
752 0
1320 0
1343 0
1345 0
1346 0
36446 0
36140 0
1344 0
2111 0
36133 0
36443 0
36469 3
36470 0
36471 3
